input_obj,log_dict,resource_dict,result_dict
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 0, 'input_data_key': 'input_data_key', 'invoke_t': 1676347009.1926224, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 0}","{'COLD_START': True, 'COLD_START_FLAG': True, 'compute_t': 2.891390562057495, 'delta_t': 0.03841114044189453, 'download_pickle_t': 8.344650268554688e-05, 'download_t': 0.002643108367919922, 'finish_t': 1676347012.2143345, 'init_t': 0.4377939701080322, 'mapping_delay': 0.12545537948608398, 'response_t': 3.021712064743042, 'upload_pickle_t': 3.62396240234375e-05, 'upload_t': 0.0010831356048583984}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 1, 'input_data_key': 'input_data_key', 'invoke_t': 1676347009.1926224, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 0}","{'COLD_START': True, 'COLD_START_FLAG': True, 'compute_t': 2.9117331504821777, 'delta_t': 0.03888845443725586, 'download_pickle_t': 7.653236389160156e-05, 'download_t': 0.0027036666870117188, 'finish_t': 1676347012.2347856, 'init_t': 0.4377939701080322, 'mapping_delay': 0.1259326934814453, 'response_t': 3.042163133621216, 'upload_pickle_t': 2.574920654296875e-05, 'upload_t': 0.0010013580322265625}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 2, 'input_data_key': 'input_data_key', 'invoke_t': 1676347009.1926224, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 0}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 2.8839128017425537, 'delta_t': 3.0022175312042236, 'download_pickle_t': 3.3855438232421875e-05, 'download_t': 0.0014200210571289062, 'finish_t': 1676347015.1683958, 'init_t': 0.4377939701080322, 'mapping_delay': 3.089261770248413, 'response_t': 5.975773334503174, 'upload_pickle_t': 3.409385681152344e-05, 'upload_t': 0.0008358955383300781}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 3, 'input_data_key': 'input_data_key', 'invoke_t': 1676347009.1926224, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 0}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 2.8521265983581543, 'delta_t': 2.9834561347961426, 'download_pickle_t': 3.3855438232421875e-05, 'download_t': 0.0016160011291503906, 'finish_t': 1676347015.1184816, 'init_t': 0.4377939701080322, 'mapping_delay': 3.070500373840332, 'response_t': 5.925859212875366, 'upload_pickle_t': 2.6702880859375e-05, 'upload_t': 0.0012636184692382812}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 0, 'input_data_key': 'input_data_key', 'invoke_t': 1676347010.195013, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 1}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 2.901186227798462, 'delta_t': 6.00636625289917, 'download_pickle_t': 3.218650817871094e-05, 'download_t': 0.0016980171203613281, 'finish_t': 1676347018.1905925, 'init_t': 0.4377939701080322, 'mapping_delay': 5.091019868850708, 'response_t': 7.995579481124878, 'upload_pickle_t': 4.315376281738281e-05, 'upload_t': 0.001073598861694336}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 1, 'input_data_key': 'input_data_key', 'invoke_t': 1676347010.195013, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 1}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 2.925755262374878, 'delta_t': 9.044487476348877, 'download_pickle_t': 3.743171691894531e-05, 'download_t': 0.0024619102478027344, 'finish_t': 1676347021.2538688, 'init_t': 0.4377939701080322, 'mapping_delay': 8.129141092300415, 'response_t': 11.058855772018433, 'upload_pickle_t': 2.9325485229492188e-05, 'upload_t': 0.0007963180541992188}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 2, 'input_data_key': 'input_data_key', 'invoke_t': 1676347010.195013, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 1}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 2.9222333431243896, 'delta_t': 5.886743068695068, 'download_pickle_t': 4.5299530029296875e-05, 'download_t': 0.0019888877868652344, 'finish_t': 1676347018.0922608, 'init_t': 0.4377939701080322, 'mapping_delay': 4.9713966846466064, 'response_t': 7.897247791290283, 'upload_pickle_t': 5.078315734863281e-05, 'upload_t': 0.0010900497436523438}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 3, 'input_data_key': 'input_data_key', 'invoke_t': 1676347010.195013, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 1}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 3.05344820022583, 'delta_t': 8.860743045806885, 'download_pickle_t': 4.5299530029296875e-05, 'download_t': 0.002539396286010742, 'finish_t': 1676347021.1982923, 'init_t': 0.4377939701080322, 'mapping_delay': 7.945396661758423, 'response_t': 11.003279209136963, 'upload_pickle_t': 2.9802322387695312e-05, 'upload_t': 0.001271963119506836}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 0, 'input_data_key': 'input_data_key', 'invoke_t': 1676347011.1953032, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 2}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 3.0270042419433594, 'delta_t': 14.940995216369629, 'download_pickle_t': 3.8623809814453125e-05, 'download_t': 0.0021843910217285156, 'finish_t': 1676347027.2515047, 'init_t': 0.4377939701080322, 'mapping_delay': 13.0253586769104, 'response_t': 16.056201457977295, 'upload_pickle_t': 3.0040740966796875e-05, 'upload_t': 0.0011136531829833984}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 1, 'input_data_key': 'input_data_key', 'invoke_t': 1676347011.1953032, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 2}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 2.925210475921631, 'delta_t': 11.95862102508545, 'download_pickle_t': 7.486343383789062e-05, 'download_t': 0.0021584033966064453, 'finish_t': 1676347024.1676016, 'init_t': 0.4377939701080322, 'mapping_delay': 10.04298448562622, 'response_t': 12.972298383712769, 'upload_pickle_t': 4.458427429199219e-05, 'upload_t': 0.0012924671173095703}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
