input_obj,log_dict,resource_dict,result_dict
"{'function_name': 'test-intra-parallelism', 'handler': 'matmul', 'index': 0, 'input_data_key': 'input_data_key', 'invoke_t': 1675261327.5700002, 'n_request': 1, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 0}","{'COLD_START': True, 'compute_t': 5.675520658493042, 'delta_t': 0.026164770126342773, 'download_pickle_t': 4.410743713378906e-05, 'download_t': 0.005070686340332031, 'finish_t': 1675261335.3103304, 'init_t': 0.3554849624633789, 'mapping_delay': 2.0580363273620605, 'upload_pickle_t': 4.57763671875e-05, 'upload_t': 0.001405477523803711}","{'hostname': 'test-intra-parallelism-00005-deployment-84677cd886-7jjwz', 'memory': 4096.0, 'nodename': 'k8s05', 'vcpus': 2.0}","{'function_name': 'test-intra-paralelism', 'output_data_key': 'output_data_key'}"
"{'function_name': 'test-intra-parallelism', 'handler': 'matmul', 'index': 0, 'input_data_key': 'input_data_key', 'invoke_t': 1675261334.5779057, 'n_request': 1, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 7}","{'COLD_START': True, 'compute_t': 5.584975957870483, 'delta_t': 0.3242175579071045, 'download_pickle_t': 1.7881393432617188e-05, 'download_t': 0.006112813949584961, 'finish_t': 1675261343.158834, 'init_t': 0.3237416744232178, 'mapping_delay': 2.9883313179016113, 'upload_pickle_t': 2.0265579223632812e-05, 'upload_t': 0.0013043880462646484}","{'hostname': 'test-intra-parallelism-00005-deployment-84677cd886-ktg6s', 'memory': 4096.0, 'nodename': 'k8s04', 'vcpus': 2.0}","{'function_name': 'test-intra-paralelism', 'output_data_key': 'output_data_key'}"
"{'function_name': 'test-intra-parallelism', 'handler': 'matmul', 'index': 0, 'input_data_key': 'input_data_key', 'invoke_t': 1675261332.5761425, 'n_request': 3, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 5}","{'COLD_START': False, 'compute_t': 5.205156564712524, 'delta_t': 7.196058034896851, 'download_pickle_t': 5.555152893066406e-05, 'download_t': 0.0011849403381347656, 'finish_t': 1675261341.8621151, 'init_t': 0.33734560012817383, 'mapping_delay': 4.076581954956055, 'upload_pickle_t': 9.441375732421875e-05, 'upload_t': 0.0025081634521484375}","{'hostname': 'test-intra-parallelism-00005-deployment-84677cd886-fw6qb', 'memory': 4096.0, 'nodename': 'k8s03', 'vcpus': 2.0}","{'function_name': 'test-intra-paralelism', 'output_data_key': 'output_data_key'}"
"{'function_name': 'test-intra-parallelism', 'handler': 'matmul', 'index': 1, 'input_data_key': 'input_data_key', 'invoke_t': 1675261332.5761425, 'n_request': 3, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 5}","{'COLD_START': True, 'compute_t': 5.762934923171997, 'delta_t': 0.07857370376586914, 'download_pickle_t': 1.6450881958007812e-05, 'download_t': 0.006725788116455078, 'finish_t': 1675261343.181587, 'init_t': 0.2987539768218994, 'mapping_delay': 4.833775997161865, 'upload_pickle_t': 9.655952453613281e-05, 'upload_t': 0.0016524791717529297}","{'hostname': 'test-intra-parallelism-00005-deployment-84677cd886-2nbp7', 'memory': 4096.0, 'nodename': 'k8s03', 'vcpus': 2.0}","{'function_name': 'test-intra-paralelism', 'output_data_key': 'output_data_key'}"
"{'function_name': 'test-intra-parallelism', 'handler': 'matmul', 'index': 2, 'input_data_key': 'input_data_key', 'invoke_t': 1675261332.5761425, 'n_request': 3, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 5}","{'COLD_START': True, 'compute_t': 4.625073194503784, 'delta_t': 0.05676412582397461, 'download_pickle_t': 3.314018249511719e-05, 'download_t': 0.007919073104858398, 'finish_t': 1675261341.924858, 'init_t': 0.3561725616455078, 'mapping_delay': 4.714366436004639, 'upload_pickle_t': 7.510185241699219e-05, 'upload_t': 0.0010204315185546875}","{'hostname': 'test-intra-parallelism-00005-deployment-84677cd886-vgmfv', 'memory': 4096.0, 'nodename': 'k8s07', 'vcpus': 2.0}","{'function_name': 'test-intra-paralelism', 'output_data_key': 'output_data_key'}"
"{'function_name': 'test-intra-parallelism', 'handler': 'matmul', 'index': 0, 'input_data_key': 'input_data_key', 'invoke_t': 1675261335.580065, 'n_request': 2, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 8}","{'COLD_START': False, 'compute_t': 7.835642576217651, 'delta_t': 0.5497548580169678, 'download_pickle_t': 1.8835067749023438e-05, 'download_t': 0.005410432815551758, 'finish_t': 1675261345.6721704, 'init_t': 0.33191537857055664, 'mapping_delay': 2.249218225479126, 'upload_pickle_t': 7.152557373046875e-05, 'upload_t': 0.0015437602996826172}","{'hostname': 'test-intra-parallelism-00005-deployment-84677cd886-fcksh', 'memory': 4096.0, 'nodename': 'k8s02', 'vcpus': 2.0}","{'function_name': 'test-intra-paralelism', 'output_data_key': 'output_data_key'}"
"{'function_name': 'test-intra-parallelism', 'handler': 'matmul', 'index': 1, 'input_data_key': 'input_data_key', 'invoke_t': 1675261335.580065, 'n_request': 2, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 8}","{'COLD_START': False, 'compute_t': 6.349194049835205, 'delta_t': 0.5292420387268066, 'download_pickle_t': 2.0503997802734375e-05, 'download_t': 0.005441427230834961, 'finish_t': 1675261344.168019, 'init_t': 0.3268923759460449, 'mapping_delay': 2.2315924167633057, 'upload_pickle_t': 3.361701965332031e-05, 'upload_t': 0.0015070438385009766}","{'hostname': 'test-intra-parallelism-00005-deployment-84677cd886-n6h4b', 'memory': 4096.0, 'nodename': 'k8s05', 'vcpus': 2.0}","{'function_name': 'test-intra-paralelism', 'output_data_key': 'output_data_key'}"
"{'function_name': 'test-intra-parallelism', 'handler': 'matmul', 'index': 0, 'input_data_key': 'input_data_key', 'invoke_t': 1675261341.5840309, 'n_request': 1, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 14}","{'COLD_START': True, 'compute_t': 4.037428140640259, 'delta_t': 0.44970273971557617, 'download_pickle_t': 2.193450927734375e-05, 'download_t': 0.005508899688720703, 'finish_t': 1675261345.627872, 'init_t': 0.35410499572753906, 'mapping_delay': -0.0013723373413085938, 'upload_pickle_t': 0.00010228157043457031, 'upload_t': 0.0020046234130859375}","{'hostname': 'test-intra-parallelism-00005-deployment-84677cd886-tkjm4', 'memory': 4096.0, 'nodename': 'k8s07', 'vcpus': 2.0}","{'function_name': 'test-intra-paralelism', 'output_data_key': 'output_data_key'}"
"{'function_name': 'test-intra-parallelism', 'handler': 'matmul', 'index': 0, 'input_data_key': 'input_data_key', 'invoke_t': 1675261330.573331, 'n_request': 5, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 3}","{'COLD_START': True, 'compute_t': 6.97821044921875, 'delta_t': 0.10599803924560547, 'download_pickle_t': 3.147125244140625e-05, 'download_t': 0.0037195682525634766, 'finish_t': 1675261342.3642514, 'init_t': 0.3193247318267822, 'mapping_delay': 4.807021617889404, 'upload_pickle_t': 4.100799560546875e-05, 'upload_t': 0.0017096996307373047}","{'hostname': 'test-intra-parallelism-00005-deployment-84677cd886-9jlkc', 'memory': 4096.0, 'nodename': 'k8s04', 'vcpus': 2.0}","{'function_name': 'test-intra-paralelism', 'output_data_key': 'output_data_key'}"
"{'function_name': 'test-intra-parallelism', 'handler': 'matmul', 'index': 1, 'input_data_key': 'input_data_key', 'invoke_t': 1675261330.573331, 'n_request': 5, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 3}","{'COLD_START': False, 'compute_t': 6.527826547622681, 'delta_t': 5.767863750457764, 'download_pickle_t': 1.5020370483398438e-05, 'download_t': 0.001066446304321289, 'finish_t': 1675261341.9019313, 'init_t': 0.3554849624633789, 'mapping_delay': 4.7964043617248535, 'upload_pickle_t': 5.459785461425781e-05, 'upload_t': 0.0030252933502197266}","{'hostname': 'test-intra-parallelism-00005-deployment-84677cd886-7jjwz', 'memory': 4096.0, 'nodename': 'k8s05', 'vcpus': 2.0}","{'function_name': 'test-intra-paralelism', 'output_data_key': 'output_data_key'}"
